,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2,split0_test_mse,split1_test_mse,split2_test_mse,split3_test_mse,split4_test_mse,mean_test_mse,std_test_mse,rank_test_mse,split0_train_mse,split1_train_mse,split2_train_mse,split3_train_mse,split4_train_mse,mean_train_mse,std_train_mse,split0_test_evs,split1_test_evs,split2_test_evs,split3_test_evs,split4_test_evs,mean_test_evs,std_test_evs,rank_test_evs,split0_train_evs,split1_train_evs,split2_train_evs,split3_train_evs,split4_train_evs,mean_train_evs,std_train_evs
0,175.91271119117738,1.8037902156711194,42.13671112060547,0.6244975739775378,0.1,0.1,rbf,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.10824110143925714,0.09213326569211566,0.08704611682744778,0.09361448256511273,0.09446151204505393,0.09509929571379745,0.007056479576749495,4,0.5022542960914995,0.5041887902811316,0.5068545723519469,0.5029742688729388,0.5070252579101002,0.5046594371015234,0.0019627394392644796,0.06479521136412701,0.0702434424121363,0.07243906951890947,0.0696863809562976,0.06933517107757325,0.06929985506580873,0.0024974983013612644,13,0.03863018353190334,0.0379049934159127,0.037453200792222544,0.0380389784504219,0.03776903914783423,0.03795927906765894,0.00038774171086045566,0.10825874245436107,0.09392397147116593,0.09028749946936665,0.10084145139901712,0.09476792721362515,0.09761591840150718,0.006310642073920789,4,0.5034956018391872,0.5054607367813895,0.5080767690842399,0.5041489187052446,0.5078410377144315,0.5058046128248985,0.0018708728380552905
1,176.87429857254028,2.4244004315633525,42.76308846473694,0.45494531228098567,0.1,1,rbf,"{'svm__C': 0.1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.016621061710227814,0.012987904465350586,0.009057055231593614,0.008164819358630337,0.010756711243420591,0.011517510401844589,0.0030358355322650894,11,0.4503847939539761,0.45028992784350386,0.4522803762326679,0.45099706105529247,0.45289220093343396,0.45136887200377485,0.0010413591578044767,0.07145232445715415,0.07636707533471304,0.07862717513824755,0.07625607747974412,0.0757442710338903,0.07568938468874983,0.002339517470471357,6,0.042655790124882235,0.04202558606443691,0.041597978804416194,0.042016961408376866,0.04191641907134926,0.04204254709469229,0.00034367384566170637,0.016671436536745188,0.014467287598356915,0.012069102676120602,0.014723009589106884,0.011254709954293896,0.013837109270924696,0.0019498712110136928,11,0.4513358475619642,0.4512905827631466,0.45331200743661537,0.4518931234258827,0.45355513420281945,0.45227733907808565,0.0009706714130265229
2,175.9236850261688,5.885480161263177,46.653678846359256,5.175319745112258,0.1,10,rbf,"{'svm__C': 0.1, 'svm__gamma': 10, 'svm__kernel': 'rbf'}",0.013290126132255664,0.009438612616359698,0.006336568680786914,0.0044757889765920655,0.007727450468059227,0.008253709374810713,0.002999818289810217,12,0.44875843513858293,0.44912974349978385,0.45097412767813494,0.44961241605188884,0.4515531612643334,0.45000557672654484,0.0010779731114501016,0.07169435027283519,0.07664169105547577,0.07884303435962937,0.07653970422754303,0.0759762151388533,0.07593899901086734,0.0023369412539992096,5,0.042782012288195816,0.042114282687360956,0.041697185218294554,0.04212293274576923,0.042019008996075136,0.04214708438713914,0.0003531586784301588,0.013332057502547956,0.01094777382974621,0.009416002519648248,0.011124080645155465,0.008262271346239802,0.010616437168667536,0.001716113035090243,12,0.44972002609269124,0.4501103442876053,0.4520128540363092,0.4505545360904566,0.45221435341307825,0.45092242278402817,0.0010098212686635518
3,177.4461817741394,3.3535695036729267,48.79033603668213,2.039473037091916,0.1,100,rbf,"{'svm__C': 0.1, 'svm__gamma': 100, 'svm__kernel': 'rbf'}",0.0056048452564108064,0.0031418972251416877,0.0007673438972519708,-0.002613934986294142,0.002602109676030029,0.0019004522137080703,0.00273567772129817,16,0.4470904192281603,0.44717054700099734,0.44901115609271114,0.44798839355442777,0.44938509689780193,0.44812912255481974,0.0009352038341394259,0.07225276286568595,0.07712888036229162,0.0792849290365642,0.07708478928842406,0.07636865166736438,0.07642400264406604,0.0023030717066417003,1,0.04291146747032554,0.04226406415444212,0.04184626815573339,0.04224722441301116,0.04218511427681916,0.042290827694066266,0.0003454329963266225,0.005640409081833719,0.004630657424056439,0.003833603379322148,0.004082159077622771,0.003218409379055154,0.004281047668378046,0.0008171968711313268,16,0.44802773706487664,0.4481118695636528,0.4499573587734803,0.44892286280968074,0.44998923246873446,0.4490018121360849,0.0008526571775671119
4,167.4064440727234,4.158194445609929,48.47502431869507,2.285674991774588,1,0.1,rbf,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.19525234932683166,0.17807879782169433,0.17455352692379733,0.1883095782792057,0.1744768400500193,0.18213421848030967,0.008279724526459451,3,0.8951356413547852,0.8944635571576655,0.8936747927807922,0.8928698213841114,0.8923876599334719,0.8937062945221653,0.0010055800232640828,0.05847297313692102,0.0635936668354082,0.06549572278450372,0.062405860264284886,0.06320856626745454,0.06263535785771447,0.0023154579331707116,14,0.008138552253912886,0.008068309252922687,0.008075141960147464,0.00819901727526026,0.008244671253403798,0.00814513839912942,6.878272873178338e-05,0.1978207217917437,0.17808143827494238,0.1747644369322393,0.19019291019028706,0.17662539918038545,0.18349698127391958,0.008975623472454319,3,0.895155680553087,0.8944702016119344,0.8936941655291353,0.892900229327517,0.8924082196888984,0.8937256993421144,0.0010017262756362574
5,170.66624388694763,4.1894631943455956,49.07213945388794,2.2143458666159743,1,1,rbf,"{'svm__C': 1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.021613998310726967,0.02428222279746728,0.0234259619735403,0.02096814650994261,0.014442816744125397,0.02094662926716051,0.00346464129846612,6,0.893975725361936,0.8929844311543371,0.8922545294889764,0.8914758602631816,0.8910388770919464,0.8923458846720755,0.0010523953002934713,0.07108953762892156,0.07549321161731273,0.07748706252842597,0.07527170877987846,0.07546203371443794,0.07496071085379533,0.002097619427096636,11,0.008228573659087265,0.008181389111381828,0.008183007517169645,0.008305701605102772,0.008348007646922754,0.008249335907932854,6.687375786158807e-05,0.02438549837585713,0.024304428317505677,0.023528505049523862,0.02294365784331831,0.01743488148251604,0.022519394213744204,0.002596892971061199,6,0.8940445288987063,0.8930451981894972,0.8923387094137667,0.891555433326824,0.8911127522582529,0.8924193244174095,0.0010481359632130856
6,174.33900260925293,2.4310629952452794,45.65295405387879,1.1982198565093736,1,10,rbf,"{'svm__C': 1, 'svm__gamma': 10, 'svm__kernel': 'rbf'}",0.018513209127009045,0.01964701184361628,0.01859508599491111,0.015738099081027745,0.010253413197198302,0.016549363848752496,0.003403945816444649,8,0.8949402963250581,0.893693909141722,0.8932383471893127,0.8931467309199963,0.8928919208138151,0.8935822408779808,0.0007268091884480414,0.07131484100506827,0.07585184704407848,0.07787037231800382,0.07567381480489782,0.07578280750318674,0.07529873653504701,0.0021524717809940997,9,0.008153713036399095,0.008127149195233496,0.008108288945714217,0.008177824497485237,0.00820603753182679,0.008154602641331768,3.488336011570407e-05,0.02117245345556429,0.01965375509015188,0.01872149182279559,0.017623560483932543,0.01343692996234469,0.0181216381629578,0.002615693137225846,8,0.8950029437912548,0.8937549072312794,0.8933224014355148,0.8932276626811019,0.8929698119583973,0.8936555454195098,0.0007196741031061226
7,164.92355608940125,4.37823671444698,51.34961595535278,4.81502912232652,1,100,rbf,"{'svm__C': 1, 'svm__gamma': 100, 'svm__kernel': 'rbf'}",0.010626487000442442,0.011622698645222918,0.009322213098966525,0.005949402008028515,0.003202457749900356,0.008144651700512151,0.0031268952688101054,13,0.8952889308326314,0.8943114851933086,0.8933715910233618,0.8940090101279645,0.8937912107204096,0.8941544455795352,0.0006446193480443811,0.07188789032140902,0.07647270400551126,0.07860613597127303,0.07642640722851168,0.07632268428225422,0.07594316436179185,0.002199756195947156,2,0.0081266554145907,0.008079935224047785,0.008098169399245408,0.008111831495199886,0.008137138838268106,0.008110746074270378,2.0289625356741144e-05,0.012876101049493438,0.01162355507785895,0.00954611973056696,0.007768822893460148,0.00649806055399238,0.009662531861074375,0.0023573800320279936,13,0.8953503963228515,0.8943741611553793,0.89345275471054,0.8940920345037894,0.8938665007243668,0.8942271694833852,0.0006373863414564605
8,163.26926827430725,1.6452631396254929,45.13487882614136,0.9601579794056379,10,0.1,rbf,"{'svm__C': 10, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.19532188218431157,0.17813916635883997,0.17454966098674696,0.1885288494364723,0.1746549485387875,0.18223890150103167,0.008296703189168576,2,0.8957025479174114,0.8948652148961638,0.8942147122699835,0.8933058367770464,0.892984478849773,0.8942145581420757,0.0009976309329117882,0.05846792087873281,0.06358899600245194,0.06549602953042803,0.06238900186010247,0.06319492887632938,0.06262737542960892,0.0023166308083330304,15,0.008094554476759355,0.008037602335380702,0.00803413638267155,0.008165647614300659,0.008198946239342468,0.008106177409690947,6.658874372118966e-05,0.19793797002254354,0.17814215051686144,0.17475955367846885,0.1904048931172223,0.17680933063952264,0.18361077959492375,0.009010418150270703,2,0.8957232890727802,0.8948724834871408,0.8942347362549441,0.8933364051503719,0.8930059943263109,0.8942345816583096,0.0009939131153963929
9,163.9587495803833,2.718386513920894,48.372672176361085,5.145159564384298,10,1,rbf,"{'svm__C': 10, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.021535229294583624,0.024206504354074454,0.023434267254237362,0.021011234811480373,0.015322171258766892,0.02110188139462854,0.003120248835539745,5,0.8950397122463001,0.8938268333296239,0.893467667545096,0.8932995262165065,0.8931504838786801,0.8937568446432413,0.0006798653716025611,0.07109526098649971,0.0754990701028338,0.07748640353916389,0.07526839598665971,0.0753947033949413,0.07494876680201969,0.0020925086983531157,12,0.008145997338898514,0.008116987080363005,0.008090872620124716,0.008166130581803854,0.008186227838377438,0.008141243091913506,3.403279581939791e-05,0.024311181048847885,0.024232908726875113,0.0235274741321293,0.022979910888297983,0.018483490582257622,0.02270699307568158,0.0021673709528458704,5,0.8951068087394929,0.8938913649715972,0.8935577325770259,0.89337849535538,0.8932343580271903,0.8938337519341373,0.0006733069412139849
10,169.8920105934143,0.972527877470665,47.48453197479248,1.193053562384726,10,10,rbf,"{'svm__C': 10, 'svm__gamma': 10, 'svm__kernel': 'rbf'}",0.018550412806245475,0.019690324198989084,0.01858064175618479,0.01511810232337052,0.009065655810385431,0.01620102737903506,0.003884420751312791,9,0.8956061541404181,0.8945694900257102,0.8937506022843521,0.8943607599561588,0.8940652144254205,0.894470444166412,0.0006315158480088184,0.07131213778532632,0.07584849588159462,0.0778715184078913,0.07572148252400265,0.07587375157978729,0.07532547723572043,0.002159638518045114,8,0.008102035624798094,0.008060210636781997,0.008069384411968769,0.008084910949045704,0.008116146167087154,0.008086537557936344,2.0527264127652196e-05,0.021200087148547486,0.019694272006966163,0.018716786375615024,0.017098966331056897,0.012415938845056984,0.01782521014144851,0.0030154847464912036,9,0.8956702210740911,0.8946332061117951,0.8938403671699374,0.8944472727958935,0.8941535468904689,0.8945489228084371,0.0006217908668021151
11,168.77920179367067,2.7235725812282405,44.990138339996335,1.7987969773500008,10,100,rbf,"{'svm__C': 10, 'svm__gamma': 100, 'svm__kernel': 'rbf'}",0.010626487000442442,0.011622698645222918,0.009322213098966525,0.005949402008028515,0.003202457749900356,0.008144651700512151,0.0031268952688101054,13,0.8952889308326314,0.8943114851933086,0.8933715910233618,0.8940090101279645,0.8937912107204096,0.8941544455795352,0.0006446193480443811,0.07188789032140902,0.07647270400551126,0.07860613597127303,0.07642640722851168,0.07632268428225422,0.07594316436179185,0.002199756195947156,2,0.0081266554145907,0.008079935224047785,0.008098169399245408,0.008111831495199886,0.008137138838268106,0.008110746074270378,2.0289625356741144e-05,0.012876101049493438,0.01162355507785895,0.00954611973056696,0.007768822893460148,0.00649806055399238,0.009662531861074375,0.0023573800320279936,13,0.8953503963228515,0.8943741611553793,0.89345275471054,0.8940920345037894,0.8938665007243668,0.8942271694833852,0.0006373863414564605
12,156.69053010940553,4.621768856234522,52.0351243019104,3.841854479775788,100,0.1,rbf,"{'svm__C': 100, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.19570724350374535,0.17808274124817725,0.17459865518117967,0.18887128994210856,0.1754048982182771,0.18253296561869758,0.008334303533625567,1,0.8967958212018431,0.8956607108470415,0.8953992368934739,0.895213384507922,0.8950875453819567,0.8956313397664474,0.0006133759610763572,0.0584399205210301,0.06359336172471233,0.06549214204616191,0.06236267372591276,0.06313750681197913,0.06260512096595924,0.0023239027782797567,16,0.008009705230856303,0.007976786306639642,0.00794417460653078,0.008019656848664876,0.008037820738575814,0.007997628746253482,3.3281308164187726e-05,0.19831183393724872,0.1780882373409267,0.17477947886815404,0.19075847108159893,0.1777498502990753,0.18393757430540075,0.00905005365879631,1,0.896814135155143,0.8956682287518154,0.8954233049856857,0.8952419251960763,0.8951170256908152,0.8956529239559071,0.0006095043049241153
13,162.43891620635986,1.6903642944743198,46.25341506004334,1.8968339417751012,100,1,rbf,"{'svm__C': 100, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.021615267582278497,0.024192062243011514,0.023419670331489506,0.02092658280057147,0.013015337808966021,0.0206337841532634,0.00398778811453787,7,0.8956648665638718,0.8944954287833915,0.8937334399402659,0.8941846755239525,0.8941946238012922,0.8944546069225547,0.0006522163480562877,0.0710894454036367,0.07550018751749217,0.07748756174388943,0.07527490435662751,0.07557133276411436,0.07498468635715204,0.0021038730583289645,10,0.008097478937164613,0.008065872652580424,0.008070687850433543,0.00809838725721784,0.008106231525694623,0.008087731644618209,1.6242560418956614e-05,0.024334186842226324,0.02420751942106003,0.023525120976537583,0.023002919747343142,0.016353045926672416,0.0222845585827679,0.0030045510344343333,7,0.8957315124876816,0.8945575731384796,0.8938244356658134,0.8942649990349483,0.8942881163265466,0.8945333273306939,0.0006435668470346359
14,133.89839353561402,21.825806380231725,40.58493556976318,3.990388795462342,100,10,rbf,"{'svm__C': 100, 'svm__gamma': 10, 'svm__kernel': 'rbf'}",0.018563684390928814,0.01971813726328686,0.01858064175618479,0.015036219350472058,0.009065655810385431,0.01619286771425159,0.0038957604377872503,10,0.8956193594648884,0.8945799048974442,0.8937506022843521,0.894358910937193,0.8940652144254205,0.8944747984018597,0.0006366657454663344,0.07131117347183745,0.07584634392987474,0.0778715184078913,0.07572777799975053,0.07587375157978729,0.07532611307782826,0.002160125510789536,7,0.008101010755866276,0.008059414415081543,0.008069384411968769,0.008085052460416626,0.008116146167087154,0.008086201642084073,2.0579989341179826e-05,0.021201584235562176,0.019721688424439443,0.018716786375615024,0.017022914663990307,0.012415938845056984,0.017815782508932787,0.0030230742522283356,10,0.8956831508582905,0.8946432929036991,0.8938403671699374,0.8944451464732041,0.8941535468904689,0.89455310085912,0.0006268068985787953
15,112.73769698143005,2.583116899084953,32.36985936164856,1.1711729431384903,100,100,rbf,"{'svm__C': 100, 'svm__gamma': 100, 'svm__kernel': 'rbf'}",0.010626487000442442,0.011622698645222918,0.009322213098966525,0.005949402008028515,0.003202457749900356,0.008144651700512151,0.0031268952688101054,13,0.8952889308326314,0.8943114851933086,0.8933715910233618,0.8940090101279645,0.8937912107204096,0.8941544455795352,0.0006446193480443811,0.07188789032140902,0.07647270400551126,0.07860613597127303,0.07642640722851168,0.07632268428225422,0.07594316436179185,0.002199756195947156,2,0.0081266554145907,0.008079935224047785,0.008098169399245408,0.008111831495199886,0.008137138838268106,0.008110746074270378,2.0289625356741144e-05,0.012876101049493438,0.01162355507785895,0.00954611973056696,0.007768822893460148,0.00649806055399238,0.009662531861074375,0.0023573800320279936,13,0.8953503963228515,0.8943741611553793,0.89345275471054,0.8940920345037894,0.8938665007243668,0.8942271694833852,0.0006373863414564605
